1/10                     1/10 -1.734046e-02
inspired             inspired  1.002542e-02
quest                   quest  1.003807e-02
gritty                 gritty  1.004855e-02
suspenseful       suspenseful  1.005498e-02
europe                 europe  1.006467e-02
performance       performance  1.006806e-02
perfectly           perfectly  1.007485e-02
united                 united  1.008106e-02
series                 series  1.008708e-02
brilliant           brilliant  1.008879e-02
animation           animation  1.011279e-02
mysterious         mysterious  1.011360e-02
screenplay         screenplay  1.011999e-02
natural               natural  1.012412e-02
greatest             greatest  1.017233e-02
identity             identity  1.018290e-02
gorgeous             gorgeous  1.020260e-02
kelly                   kelly  1.021272e-02
nominated           nominated  1.022341e-02
donald                 donald  1.023519e-02
storytelling     storytelling  1.024206e-02
atmosphere         atmosphere  1.024878e-02
role                     role  1.025467e-02
village               village  1.026084e-02
musicals             musicals  1.029384e-02
movement             movement  1.030042e-02
creates               creates  1.032342e-02
revolution         revolution  1.033412e-02
grant                   grant  1.033521e-02
voices                 voices  1.033606e-02
political           political  1.034082e-02
winner                 winner  1.037046e-02
among                   among  1.037079e-02
prince                 prince  1.038288e-02
steals                 steals  1.038375e-02
imagery               imagery  1.041786e-02
tony                     tony  1.043049e-02
era                       era  1.046753e-02
debut                   debut  1.048514e-02
themes                 themes  1.049531e-02
handsome             handsome  1.051013e-02
navy                     navy  1.051098e-02
gene                     gene  1.051220e-02
musical               musical  1.056552e-02
reminiscent       reminiscent  1.056670e-02
performances     performances  1.056906e-02
anthony               anthony  1.057548e-02
trilogy               trilogy  1.058038e-02
visually             visually  1.058926e-02
jewish                 jewish  1.059268e-02
bond                     bond  1.060229e-02
harris                 harris  1.060774e-02
historical         historical  1.061675e-02
essential           essential  1.063052e-02
frank                   frank  1.068871e-02
chief                   chief  1.070062e-02
elizabeth           elizabeth  1.070579e-02
extraordinary   extraordinary  1.071115e-02
beauty                 beauty  1.072642e-02
sky                       sky  1.075334e-02
dick                     dick  1.075752e-02
master                 master  1.078824e-02
mrs                       mrs  1.079484e-02
james                   james  1.080137e-02
france                 france  1.081578e-02
daniel                 daniel  1.082324e-02
stanley               stanley  1.082954e-02
jean                     jean  1.083161e-02
charles               charles  1.083335e-02
notable               notable  1.083336e-02
match                   match  1.084444e-02
westerns             westerns  1.090464e-02
allows                 allows  1.091749e-02
rings                   rings  1.093803e-02
league                 league  1.097549e-02
greater               greater  1.097856e-02
terrific             terrific  1.098060e-02
satisfying         satisfying  1.101753e-02
river                   river  1.105273e-02
inspector           inspector  1.105635e-02
players               players  1.105862e-02
battle                 battle  1.107529e-02
superior             superior  1.108737e-02
tragedy               tragedy  1.116738e-02
impact                 impact  1.117302e-02
tone                     tone  1.121660e-02
walter                 walter  1.123605e-02
presence             presence  1.127228e-02
mgm                       mgm  1.130720e-02
nicely                 nicely  1.131779e-02
caine                   caine  1.133581e-02
author                 author  1.134362e-02
sidney                 sidney  1.136199e-02
oliver                 oliver  1.138152e-02
haunting             haunting  1.139077e-02
warner                 warner  1.144565e-02
smith                   smith  1.144579e-02
intense               intense  1.144993e-02
spy                       spy  1.148039e-02
father's             father's  1.148693e-02
includes             includes  1.150468e-02
8/                         8/  1.152578e-02
portrayal           portrayal  1.152638e-02
captain               captain  1.153439e-02
harry                   harry  1.153734e-02
remarkable         remarkable  1.155776e-02
china                   china  1.155905e-02
cinderella         cinderella  1.156910e-02
century               century  1.157020e-02
rogers                 rogers  1.159704e-02
depicted             depicted  1.165951e-02
fantastic           fantastic  1.166335e-02
barbara               barbara  1.171298e-02
conflict             conflict  1.172429e-02
contemporary     contemporary  1.173672e-02
von                       von  1.174178e-02
luke                     luke  1.177038e-02
sympathetic       sympathetic  1.177482e-02
effective           effective  1.178116e-02
seasons               seasons  1.181663e-02
memorable           memorable  1.182792e-02
castle                 castle  1.183313e-02
stunning             stunning  1.185429e-02
rob                       rob  1.193538e-02
lovely                 lovely  1.194612e-02
freedom               freedom  1.197049e-02
brooks                 brooks  1.198434e-02
legendary           legendary  1.199604e-02
douglas               douglas  1.200309e-02
compelling         compelling  1.201948e-02
albert                 albert  1.202657e-02
segment               segment  1.218182e-02
wayne                   wayne  1.218736e-02
underrated         underrated  1.219970e-02
jim                       jim  1.219984e-02
tarzan                 tarzan  1.223586e-02
film's                 film's  1.227779e-02
marvelous           marvelous  1.229553e-02
taylor                 taylor  1.236193e-02
provides             provides  1.236701e-02
colors                 colors  1.240959e-02
beautifully       beautifully  1.241082e-02
hong                     hong  1.251358e-02
powerful             powerful  1.252638e-02
leslie                 leslie  1.256788e-02
davis                   davis  1.257470e-02
veteran               veteran  1.261402e-02
adaptation         adaptation  1.262212e-02
animated             animated  1.265024e-02
supporting         supporting  1.267660e-02
portrays             portrays  1.269103e-02
versions             versions  1.269866e-02
faithful             faithful  1.271519e-02
brown                   brown  1.273548e-02
stylish               stylish  1.279285e-02
outstanding       outstanding  1.288674e-02
william               william  1.289576e-02
finest                 finest  1.300608e-02
roy                       roy  1.301632e-02
emma                     emma  1.311049e-02
lugosi                 lugosi  1.322550e-02
contrast             contrast  1.323583e-02
wonderfully       wonderfully  1.325846e-02
winning               winning  1.328293e-02
novel                   novel  1.332545e-02
india                   india  1.333379e-02
intensity           intensity  1.339397e-02
depiction           depiction  1.380178e-02
manager               manager  1.386818e-02
superb                 superb  1.397695e-02
poignant             poignant  1.410546e-02
magnificent       magnificent  1.432311e-02
jane                     jane  1.449747e-02
stewart               stewart  1.470881e-02
jackie                 jackie  1.477908e-02
brilliantly       brilliantly  1.491123e-02
excellent           excellent  1.498891e-02
captures             captures  1.505727e-02
joseph                 joseph  1.526654e-02
noir                     noir  1.548151e-02
delightful         delightful  1.554621e-02
breathtaking     breathtaking  1.572969e-02
titanic               titanic  1.577186e-02
victoria             victoria  1.610406e-02
powell                 powell  1.924682e-02
columbo               columbo  1.961002e-02
